Reading Num, ADC value
0,0965
1,0965
2,0966
3,0965
4,0963
5,0963
6,0963
7,0963
8,0962
9,0961
10,0962
11,0961
12,0960
13,0960
14,0960
15,0960
16,0959
17,0958
18,0959
19,0959
20,0957
21,0956
22,0956
23,0956
24,0955
25,0955
26,0955
27,0954
28,0952
29,0952
30,0952
31,0951
32,0947
33,0949
34,0948
35,0947
36,0942
37,0945
38,0944
39,0943
40,0940
41,0940
42,0939
43,0937
44,0934
45,0934
46,0932
47,0930
48,0927
49,0926
50,0925
51,0923
52,0920
53,0918
54,0916
55,0913
56,0911
57,0908
58,0907
59,0904
60,0902
61,0900
62,0899
63,0898
64,0896
65,0894
66,0894
67,0893
68,0892
69,0891
70,0891
71,0891
72,0890
73,0890
74,0891
75,0891
76,0891
77,0892
78,0894
79,0896
80,0896
81,0897
82,0900
83,0903
84,0903
85,0905
86,0908
87,0911
88,0912
89,0914
90,0916
91,0919
92,0920
93,0922
94,0925
95,0926
96,0928
97,0931
98,0934
99,0933
100,0937
101,0939
102,0942
103,0941
104,0944
105,0945
106,0947
107,0947
108,0948
109,0949
110,0951
111,0951
112,0952
113,0952
114,0953
115,0953
116,0953
117,0954
118,0956
119,0956
120,0956
121,0956
122,0958
123,0957
124,0957
125,0958
126,0959
127,0959
128,0959
129,0960
130,0961
131,0961
132,0961
133,0961
134,0963
135,0963
136,0963
137,0963
138,0964
139,0965
140,0966
141,0966
142,0967
143,0967
144,0967
145,0968
146,0969
147,0969
148,0970
149,0971
150,0972
151,0972
152,0972
153,0972
154,0974
155,0974
156,0975
157,0975
158,0974
159,0976
160,0977
161,0977
162,0974
163,0979
164,0979
165,0979
166,0976
167,0980
168,0981
169,0982
170,0980
171,0982
172,0983
173,0983
174,0983
175,0984
176,0984
177,0984
178,0984
179,0985
180,0985
181,0985
182,0985
183,0986
184,0985
185,0985
186,0986
187,0987
188,0986
189,0986
190,0986
191,0987
192,0986
193,0986
194,0987
195,0986
196,0986
197,0986
198,0987
199,0986
200,0986
201,0986
202,0987
203,0986
204,0985
205,0985
206,0986
207,0986
208,0986
209,0985
210,0986
211,0985
212,0985
213,0985
214,0986
215,0985
216,0985
217,0985
218,0986
219,0986
220,0985
221,0984
