Reading Num, ADC value
0,0960
1,0963
2,0959
3,0962
4,0958
5,0960
6,0958
7,0960
8,0955
9,0958
10,0956
11,0957
12,0953
13,0956
14,0953
15,0955
16,0951
17,0955
18,0952
19,0953
20,0949
21,0952
22,0951
23,0952
24,0947
25,0950
26,0948
27,0949
28,0945
29,0947
30,0946
31,0947
32,0942
33,0945
34,0944
35,0944
36,0940
37,0942
38,0941
39,0942
40,0937
41,0939
42,0937
43,0937
44,0933
45,0934
46,0933
47,0934
48,0927
49,0929
50,0927
51,0927
52,0921
53,0923
54,0920
55,0920
56,0914
57,0915
58,0913
59,0913
60,0907
61,0908
62,0907
63,0907
64,0902
65,0902
66,0902
67,0903
68,0897
69,0897
70,0899
71,0899
72,0895
73,0896
74,0896
75,0897
76,0894
77,0895
78,0896
79,0897
80,0894
81,0896
82,0897
83,0899
84,0896
85,0898
86,0899
87,0901
88,0897
89,0900
90,0902
91,0903
92,0902
93,0904
94,0906
95,0908
96,0905
97,0909
98,0911
99,0914
100,0911
101,0915
102,0916
103,0920
104,0916
105,0920
106,0921
107,0925
108,0922
109,0926
110,0927
111,0930
112,0927
113,0931
114,0932
115,0935
116,0932
117,0935
118,0937
119,0940
120,0936
121,0940
122,0942
123,0944
124,0940
125,0943
126,0945
127,0946
128,0940
129,0945
130,0947
131,0948
132,0941
133,0947
134,0948
135,0950
136,0944
137,0949
138,0950
139,0952
140,0947
141,0951
142,0952
143,0953
144,0950
145,0952
146,0955
147,0956
148,0952
149,0954
150,0956
151,0958
152,0954
153,0956
154,0958
155,0960
156,0956
157,0959
158,0960
159,0962
160,0958
161,0960
162,0963
163,0963
164,0960
165,0963
166,0965
167,0966
168,0963
169,0964
170,0967
171,0968
172,0965
173,0967
174,0970
175,0971
176,0967
177,0969
178,0972
179,0973
180,0970
181,0972
182,0975
183,0975
184,0972
185,0974
186,0977
187,0978
188,0975
189,0977
190,0979
191,0978
192,0977
193,0979
194,0982
195,0979
196,0979
197,0980
198,0984
199,0982
200,0980
201,0983
202,0985
203,0984
204,0982
205,0984
206,0987
207,0986
208,0984
209,0985
210,0988
211,0988
212,0984
213,0987
214,0989
215,0988
216,0985
217,0987
218,0990
219,0989
220,0985
221,0987
222,0990
223,0990
224,0985
225,0987
226,0991
227,0990
228,0985
229,0987
230,0990
231,0990
232,0986
233,0987
234,0990
235,0989
236,0985
237,0987
238,0990
239,0989
240,0985
241,0987
242,0990
243,0989
244,0985
245,0987
246,0990
247,0989
248,0985
249,0987
250,0990
251,0988
252,0985
253,0987
